id,page_or_scope,severity,impact,evidence,reproduce,code_scope,fix,target_release
RV-011,modal,high,ARIA id collisions possible with multiple modals,`aria-labelledby` references static `modal-title` id,Inspect modal implementation,frontend/src/design-system/components/Modal/index.tsx,Generate per-instance ids for title/description,R1
RV-012,modal,high,Keyboard trap incomplete in dialogs,Modal focuses container but no focus loop enforcement,Inspect key handling and focus logic,frontend/src/design-system/components/Modal/index.tsx,Add focus trap sentinels and return focus on close,R1
RV-013,topbar,high,Icon controls may be unnamed for AT users,Icon-only buttons without explicit aria labels in topbar,Inspect button elements in topbar,frontend/src/design-system/components/TopBar/index.tsx,Add `aria-label` for icon-only actions,R1
RV-014,page header,medium,Back button may be unclear for AT users,Back icon button lacks explicit aria label,Inspect page header buttons,frontend/src/design-system/components/PageHeader/index.tsx,Add semantic aria labels for navigation buttons,R1
RV-015,modal,medium,Close action unclear for screen readers,Modal close icon button has no explicit aria label,Inspect close button markup,frontend/src/design-system/components/Modal/index.tsx,"Add `aria-label=""Закрыть""` and keyboard hint",R1
RV-016,data table,medium,Toolbar controls rely on tooltip/title only,Density/columns/export icon buttons lack explicit aria labels,Inspect DataTable toolbar,frontend/src/design-system/components/DataTable/index.tsx,Add `aria-label` and consistent focus-visible labels,R1
RV-017,data table,high,Table semantics not fully exposed,Headers lack explicit `scope` and `aria-sort` mapping,Inspect `<th>` rendering,frontend/src/design-system/components/DataTable/index.tsx,Add semantic attributes and announce sort state,R1
RV-018,workflow designer form,medium,Label-input coupling inconsistent,Raw labels used without guaranteed input id/htmlFor linkage,Inspect form controls in designer,frontend/src/modules/workflow/WorkflowDesignerPage.tsx,Standardize form controls through DS FormField contract,R2
RV-019,frontend/src,high,Localization system is not adopted,TSX imports from `@/i18n`: 0,"Search `from ""@/i18n""` in TSX",frontend/src/**/*.tsx,Introduce i18n provider usage in top-traffic modules first,R2
RV-020,formatting utils,high,Locale is hardcoded to one region,`Intl.NumberFormat(ru-RU)` and date-fns `ru` fixed in shared formatter,Inspect formatter utilities,frontend/src/lib/format.ts,Use active locale from app state/context,R2
RV-021,/documents route,high,User lands on placeholder maturity surface,Router maps `/documents` to placeholder page,Inspect route mapping,frontend/src/routes/index.tsx; frontend/src/pages/placeholders/DocumentListPage.tsx,Replace with production documents module list,R3
RV-022,frontend/src tests,high,DS regressions can ship undetected,Component test files in src: 0,"Glob `**/*.{test,spec}.{ts,tsx}` in `frontend/src`",frontend/src,Add component tests for DS primitives and critical pages,R3
RV-023,e2e suite,high,Visual UI drift risk remains high,`toHaveScreenshot` assertions: 0,Search `toHaveScreenshot|screenshot(` in e2e specs,frontend/e2e/**/*.ts,Add baseline screenshot tests per critical route/viewport,R3
RV-024,e2e smoke,medium,Business outcomes are weakly validated,Smoke tests mostly assert URL/text/visibility,Inspect `e2e/smoke/*.spec.ts`,frontend/e2e/smoke/*.spec.ts,Add assertions for CRUD/status transitions and totals,R3
RV-025,e2e navigation,medium,Expected behavior is outdated in tests,Test still expects unknown route redirect to `/` while app has 404 page,Inspect navigation smoke test vs router,frontend/e2e/smoke/navigation.spec.ts; frontend/src/routes/index.tsx,Update test oracle to current 404 behavior,R3
RV-026,tables,high,Scalability risk on long lists,No virtualization library usage found,Search `react-virtual|react-window|useVirtualizer`,frontend/src/**,Introduce row virtualization for high-volume pages,R2
RV-027,data table,high,Performance degrades with large datasets,Client-side pagination model in generic DataTable,Inspect table model setup,frontend/src/design-system/components/DataTable/index.tsx,Adopt server pagination + cursor strategy in heavy domains,R2
RV-028,build config,medium,Chunk graph is too coarse for large app,manualChunks only vendor/charts/table/query,Inspect Vite config,frontend/vite.config.ts,Split by domain routes and heavy editors/charts,R2
RV-029,enterprise lists,medium,Power users cannot preserve views,No saved views/presets infrastructure found on major lists,Inspect list modules and shared DS,frontend/src/modules/**/ListPage.tsx,Implement per-user saved filters/sort/column presets,R2
RV-030,long forms,medium,Interruption causes data-entry loss,No generic autosave on major transactional forms,Inspect project/procurement/warehouse/payment forms,frontend/src/modules/projects/ProjectFormPage.tsx; frontend/src/modules/procurement/PurchaseRequestFormPage.tsx; frontend/src/modules/warehouse/MovementFormPage.tsx; frontend/src/modules/finance/PaymentFormPage.tsx,Add shared autosave + stale draft conflict UI,R2
RV-031,navigation IA,medium,Cognitive load remains high,Sidebar has 18 groups and 146 items without role-based pruning,Compute nav inventory from sidebar config,frontend/src/design-system/components/Sidebar/index.tsx,Introduce role-based nav presets and favorites,R2
RV-032,topbar search,medium,Global command UX underpowered,Search only navigates to `/search?q=...`,Inspect topbar Enter handler,frontend/src/design-system/components/TopBar/index.tsx,Add command palette with object actions and recents,R2
RV-033,e2e infra,medium,Local test run depends on host Node that may be absent,Playwright config auto-runs `npm run dev` on localhost:3000,Inspect playwright config and host node availability,frontend/e2e/playwright.config.ts,Add docker-native baseURL profile and disable local webServer in container mode,R3
RV-034,quality gate,high,Build confidence is weak under current environment,Historical terminal logs show frontend build type errors during docker build,Read terminal logs (`terminals/1.txt`),frontend build pipeline,Stabilize TS contracts and enforce CI gate before release,R1
RV-035,runtime validation,high,Live UX/perf verification currently blocked,Backend probe `127.0.0.1:18080` returns connection refused,Run health curl check,runtime/docker,Restore backend service and add health-check watchdog in compose workflow,R1
RV-036,runtime validation,high,Live browser checks blocked,Frontend login probe times out with 0 bytes,Run frontend curl check,runtime/docker,Restart frontend container and verify response SLA,R1
RV-037,runtime validation,high,Infra instability blocks repeatable QA,`docker ps` command timed out repeatedly,Run docker ps with extended timeout,runtime/docker,Stabilize Docker daemon resources and restart strategy,R1
RV-038,audit confidence,medium,Perf/Lighthouse evidence gap this run,No stable runtime to execute browser perf in this pass,Attempt runtime probes before measurement,ui_audit process,Treat perf numbers as pending until runtime restored,R1
RV-039,routing complexity,medium,High route surface raises regression probability,Route entries detected: 318,"Count `<Route path=""..."">` entries",frontend/src/routes/index.tsx,Consolidate route constants and enforce route lint checks,R3
RV-040,design system adoption,medium,Form consistency debt across modules,Mixed usage of raw controls and DS wrappers across modules,Inspect module form implementations,frontend/src/modules/**,Add lint rule/codemod for DS form contract adoption,R2
