status,odoo_report_name,odoo_display_name,odoo_model,odoo_type,next_report,next_endpoint,gap
MISSING,construction_logistics.report_transfer_task,Накладная на доставку,construction.transfer.task,qweb-pdf,,,No delivery note (transfer task) report template or endpoint
MISSING,construction_lrv.report_lrv,Лимитно-распределительная ведомость,construction.lrv,qweb-pdf,,,No limit-distribution statement (LRV) report template or endpoint in Next
MISSING,construction_material_analogs.report_material_analog,Карточка аналогов материала,construction.material.analog,qweb-pdf,,,No material analog card report; material analogs tables exist (V71) but no PDF
MISSING,construction_mobile.report_work_journal_document,Отчёт по журналу работ,construction.work.journal,qweb-pdf,,,No work journal report from mobile module; no template or endpoint
MISSING,construction_monthly_schedule.report_monthly_schedule,Месячный сводный график,construction.monthly.schedule,qweb-pdf,,,No monthly consolidated schedule report; tables exist (V64) but no PDF
MISSING,construction_photo_progress.report_photo_progress,Отчёт фотофиксации,construction.photo.report,qweb-pdf,,,No Thymeleaf template or controller endpoint for photo progress reports
MISSING,construction_planning.report_evm_document,Отчёт планирования (EVM),construction.evm,qweb-pdf,,,No EVM (Earned Value Management) report template or endpoint in Next
MISSING,construction_reservation.report_material_reservation,Заявка на материалы,construction.material.reservation,qweb-pdf,,,No material reservation request report template or endpoint in Next
MISSING,construction_russian_accounting.report_tax_declaration_document,Налоговая декларация,construction.tax.declaration,qweb-pdf,,,No tax declaration report template or endpoint; regulatory module exists but no PDF for tax
MISSING,construction_submittals.report_submittal_document,Передача документации,construction.submittal,qweb-pdf,,,No submittal/document transmittal report template or endpoint
MISSING,construction_tolerance.report_tolerance_check,Акт проверки допуска,construction.tolerance.check,qweb-pdf,,,No tolerance check act report; tolerance tables exist (V71) but no PDF
MISSING,construction_tolerance.report_tolerance_rules,Реестр правил допусков,construction.tolerance.rule,qweb-pdf,,,No tolerance rules registry report template or endpoint
PARTIAL,construction_estimate.report_estimate_document,Смета (детально),construction.estimate,qweb-pdf,Estimate Report (Thymeleaf template),/api/report-templates/generate (template: estimate-report),Thymeleaf template estimate-report.html exists but no dedicated PdfReportController endpoint; must use generic report engine
PARTIAL,construction_procurement.report_upd,Универсальный передаточный документ,construction.upd,qweb-pdf,UPD Report (Thymeleaf template),/api/report-templates/generate (template: upd-report),Thymeleaf template upd-report.html exists; no dedicated controller endpoint
PARTIAL,construction_pto.report_hidden_work_act_document,Акт скрытых работ,construction.hidden.work.act,qweb-pdf,Hidden Work Act Report (Thymeleaf template),/api/report-templates/generate (template: hidden-work-act),Thymeleaf template hidden-work-act.html exists; no dedicated controller endpoint; generic engine only
PARTIAL,construction_pto.report_ks6a_document,КС-6а (Журнал учета),construction.ks6a,qweb-pdf,KS-6a Report (Thymeleaf template),/api/report-templates/generate (template: ks6a-report),Thymeleaf template ks6a-report.html exists; no dedicated controller endpoint; generic engine only
PARTIAL,construction_punch_list.report_punch_list_document,Отчёт по замечаниям,construction.punch.item,qweb-pdf,Punch List Report (Thymeleaf template),/api/report-templates/generate (template: punch-list-report),Thymeleaf template punch-list-report.html exists; no dedicated controller endpoint
PARTIAL,construction_reports.report_estimate_branded_document,Смета (фирменный),construction.estimate,qweb-pdf,Estimate Report (Thymeleaf template) - no branded variant,/api/report-templates/generate (template: estimate-report),No separate branded variant; estimate-report.html is the only template; branding not configurable per-template
PARTIAL,construction_reports.report_ks2_branded_document,КС-2: Акт выполненных работ (фирменный),construction.ks2,qweb-pdf,"KS-2 PDF Report (PdfReportController) - single template, no branded variant",/api/pdf-reports/ks2/{id}/pdf,No separate branded/letterhead variant; single ks2-report.html template; branding must be configured at template level
PARTIAL,construction_reports.report_ks3_branded_document,КС-3: Справка о стоимости (фирменный),construction.ks3,qweb-pdf,"KS-3 PDF Report (PdfReportController) - single template, no branded variant",/api/pdf-reports/ks3/{id}/pdf,No separate branded/letterhead variant; single ks3-report.html template
PARTIAL,construction_reports.report_m29_branded_document,М-29: Отчет о расходе материалов (фирменный),construction.m29,qweb-pdf,M-29 Report (Thymeleaf template) - no branded variant,/api/report-templates/generate (template: m29-report),No separate branded variant; m29-report.html is the only template
PARTIAL,construction_specification.report_specification_document,Спецификация,construction.specification,qweb-pdf,Specification Report (Thymeleaf template),/api/report-templates/generate (template: specification-report),Thymeleaf template specification-report.html exists; no dedicated controller endpoint
PARTIAL,construction_stock.report_m29_document,М-29 (Отчет о расходе материалов),construction.m29,qweb-pdf,M-29 Report (Thymeleaf template),/api/report-templates/generate (template: m29-report),Thymeleaf template m29-report.html exists; no dedicated controller endpoint; generic engine only
