status,criticality,domain,capability_key,capability_name,odoo_model,odoo_menu_path,odoo_view_types,next_route,next_page,next_module,view_types_covered,view_types_missing,gap
PARTIAL,MUST,Warehouse / Inventory,dispatch_order,Заявка на диспетчеризацию,construction.dispatch.order,Строительство / Диспетчеризация / Заявки на технику; Строительство / Склад / Отгрузки на объекты,"calendar, form, kanban, list",dispatch/orders; dispatch/routes,DispatchOrderListPage; DispatchRouteListPage,,list,"calendar, form, kanban",Missing kanban/board view; Missing calendar view; Missing form/detail view
PARTIAL,MUST,Warehouse / Inventory,equipment_control,Контроль строительной техники,construction.equipment.control,Строительство / Склад / Контроль техники,"form, list",maintenance/equipment,EquipmentListPage,,list,form,Missing form/detail view
PARTIAL,MUST,Warehouse / Inventory,m29,Отчет М-29 (Списание материалов),construction.m29,Строительство / Склад и М-29 / Отчеты М-29,"form, kanban, list",m29,M29ListPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,SHOULD,Warehouse / Inventory,stock_limit,Лимит МПЗ на складе,construction.stock.limit,Строительство / Склад / Лимиты МПЗ,"form, list",warehouse/stock-limits,StockLimitsPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Warehouse / Inventory,transfer_plan,План перевозок,construction.transfer.plan,Строительство / Склад / Планы перемещений,"form, kanban, list",warehouse/movements,MovementListPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Warehouse / Inventory,transfer_task,Задача доставки,construction.transfer.task,Строительство / Склад / Задания на перемещения,"form, kanban, list",warehouse/movements,MovementListPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,MUST,Work Execution / Volumes,crew,Строительная бригада,construction.crew,Строительство / Табель бригад / Бригады; Строительство / Производство / Бригады,"form, kanban, list",crew; hr/crew-timesheets,CrewPage; CrewTimeSheetsPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,MUST,Work Execution / Volumes,daily_log,Ежедневный журнал,construction.daily.log,Строительство / Полевой журнал; Строительство / Проекты / Журнал производства работ,"form, kanban, list",operations/daily-logs; operations/daily-logs/:id; operations/daily-logs/new,OperationsDailyLogsPage; DailyLogDetailPage; DailyLogCreatePage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Work Execution / Volumes,ks2,КС-2 (Акт выполненных работ),construction.ks2,Строительство / ПТО / КС-2 (акты выполненных работ); Строительство / Производство / КС-2 (акты работ),"form, kanban, list",ks2; russian-docs/ks2,Ks2ListPage; FormKs2Page,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Work Execution / Volumes,ks3,КС-3 (Справка стоимости),construction.ks3,Строительство / ПТО / КС-3 (справки стоимости); Строительство / Производство / КС-3 (справки о стоимости),"form, kanban, list",ks3; russian-docs/ks3,Ks3ListPage; FormKs3Page,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Work Execution / Volumes,ks6,КС-6 (Общий журнал работ),construction.ks6,Строительство / ПТО / КС-6 (Журнал работ),"calendar, form, list",russian-docs/list,RussianDocListPage,,"form, list",calendar,Missing calendar view
PARTIAL,MUST,Work Execution / Volumes,ks6a,КС-6а (Журнал объемов),construction.ks6a,Строительство / ПТО / КС-6а (журнал учёта),"form, kanban, list",russian-docs/list,RussianDocListPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Work Execution / Volumes,monthly_schedule,Месячный сводный график работ,construction.monthly.schedule,Строительство / МСГ (месячно-суточный график); Строительство / Проекты / Месячно-суточный график,"form, kanban, list",planning/gantt,GanttChartPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Work Execution / Volumes,work_journal,Журнал работ с фото,construction.work.journal,Строительство / Журнал работ,"calendar, form, kanban, list",operations/daily-logs,OperationsDailyLogsPage,,list,"calendar, form, kanban",Missing kanban/board view; Missing calendar view; Missing form/detail view
PARTIAL,MUST,Work Execution / Volumes,work_order,Наряд на выполнение работ,construction.work.order,Строительство / Кадры (РФ) / Наряды,"form, kanban, list",operations/work-orders; operations/work-orders/:id,WorkOrdersPage; WorkOrderDetailPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,SHOULD,Work Execution / Volumes,journal_general,Общий журнал работ (КС-6),construction.journal.general,Строительство / ПТО / Журналы / Общий журнал работ,"form, list",operations/daily-logs,OperationsDailyLogsPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Work Execution / Volumes,journal_special,Специальный журнал работ,construction.journal.special,Строительство / ПТО / Журналы / Специальные журналы,"form, list",operations/daily-logs,OperationsDailyLogsPage,,list,form,Missing form/detail view
PARTIAL,MUST,Quality Control,material_certificate,Сертификат качества материала,construction.material.certificate,Строительство / Качество и ОТиПБ / Сертификаты материалов; Строительство / Качество и ОТиПБ / Сертификаты,"form, list",quality/certificates,MaterialCertificatesPage,,list,form,Missing form/detail view
PARTIAL,MUST,Quality Control,punch_item,Замечание,construction.punch.item,Строительство / Замечания / Все замечания; Строительство / Замечания / Открытые; Строительство / Замечания / Просроченные; Строительство / Замечания / На чертежах,"form, kanban, list",punchlist/items; punchlist/items/:id,PunchlistItemsPage; PunchlistItemDetailPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,MUST,Quality Control,submittal,Передача документации,construction.submittal,Строительство / Передача документации; Строительство / Передача документации / Реестр документов; Строительство / Качество и ОТиПБ / Согласования ПТО,"form, kanban, list",pm/submittals; pm/submittals/:id,SubmittalListPage; SubmittalDetailPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,SHOULD,Quality Control,audit_checklist,Чек-лист аудита,construction.audit.checklist,Строительство / Аудит / Чек-листы; Строительство / Аудит / Аналитика,"form, graph, kanban, list, pivot",quality,QualityListPage,,list,"form, graph, kanban, pivot",Missing kanban/board view; Missing pivot table view; Missing chart/graph view; Missing form/detail view
PARTIAL,SHOULD,Quality Control,audit_schedule,Расписание аудитов,construction.audit.schedule,Строительство / Аудит / Расписание,"form, kanban, list",quality,QualityListPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Quality Control,journal_input,Журнал входного контроля материалов,construction.journal.input,Строительство / ПТО / Журналы / Журнал входного контроля,"form, list",operations/daily-logs,OperationsDailyLogsPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Quality Control,submittal_log,Журнал передач,construction.submittal.log,,"form, list",pm/submittals,SubmittalListPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Quality Control,tolerance_check,Проверка допустимого отклонения,construction.tolerance.check,Строительство / Качество и ОТиПБ / Проверки допусков,"form, kanban, list",quality/tolerance-checks,ToleranceChecksPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Quality Control,tolerance_rule,Правило допустимого отклонения,construction.tolerance.rule,Строительство / Настройки / Правила допусков,"form, list",quality/tolerance-rules,ToleranceRulesPage,,list,form,Missing form/detail view
PARTIAL,MUST,Safety / HSE,safety_training,Инструктаж по охране труда,construction.safety.training,Строительство / Кадры строительства / Охрана труда / Инструктажи,"form, list",safety,SafetyPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Safety / HSE,medical_examination,Медицинский осмотр,construction.medical.examination,Строительство / Кадры строительства / Охрана труда / Медосмотры,"form, list",safety,SafetyPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Safety / HSE,ppr,Проект производства работ,construction.ppr,Строительство / ПТО / Документы / ППР,"form, list",fleet/maintenance,MaintenancePage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,acquiring_payment,Платеж через эквайринг,construction.acquiring.payment,Строительство / Финансы / Эквайринг (Точка),"form, list",payments,PaymentListPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,aging_analysis,Aging-анализ задолженности,construction.aging.analysis,Строительство / Финансы / Aging-анализ,"form, list",analytics,AnalyticsDashboardPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,bonus_calculation,Расчет премий,construction.bonus.calculation,Строительство / KPI и аналитика / Расчёт премий,"form, list",analytics/bonus-calculations,BonusCalculationsPage,,list,form,Missing form/detail view
MISSING,SHOULD,Financial / Payments / Budget,ens_account,Единый налоговый счёт,construction.ens.account,Строительство / Финансы / ЕНС / Счета ЕНС,"form, list",,,,,"form, list",construction.ens.account has no route in Next
MISSING,SHOULD,Financial / Payments / Budget,ens_reconciliation,Сверка ЕНС с ФНС,construction.ens.reconciliation,Строительство / Финансы / ЕНС / Сверки с ФНС,"form, list",,,,,"form, list",construction.ens.reconciliation has no route in Next
PARTIAL,SHOULD,Financial / Payments / Budget,evm,Earned Value Management,construction.evm,Строительство / EVM отчеты,"form, list",planning/evm,EvmDashboardPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,management_pnl,Управленческий P&L,construction.management.pnl,Строительство / Финансы / Управленческий P&L,"form, list",revenue/dashboard,RevenueDashboardPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,overhead_allocation,Распределение накладных расходов,construction.overhead.allocation,Строительство / Финансы / Распределение накладных,"form, kanban, list",cost-management/budget,CostBudgetOverviewPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,self_employed_registry,Реестр выплат самозанятым,construction.self.employed.registry,Строительство / Кадры (РФ) / Реестры выплат СМЗ,"form, kanban, list",hr-russian/personnel-orders,PersonnelOrderListPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,tax_calendar,Налоговый календарь,construction.tax.calendar,Строительство / Российский учет / Налоговый учет / Налоговый календарь,"form, kanban, list",regulatory/reporting-calendar,ReportingCalendarPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Financial / Payments / Budget,tax_declaration,Налоговая декларация,construction.tax.declaration,Строительство / Российский учет / Налоговый учет / Налоговые декларации,"form, kanban, list",regulatory/reporting-calendar,ReportingCalendarPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,NICE,Financial / Payments / Budget,tax_risk_assessment,Оценка риска налоговой проверки,construction.tax.risk.assessment,Строительство / Финансы / Оценка налогового риска,"form, list",analytics,AnalyticsDashboardPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Documents / Reports,drawing,Чертёж,construction.drawing,Строительство / Чертежи и разметка / Чертежи,"form, list",design/versions,DesignVersionListPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Documents / Reports,photo_point,Точка фотофиксации,construction.photo.point,Строительство / Фото-прогресс / Точки фиксации,"form, list",mobile/photos,MobilePhotosPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Documents / Reports,photo_report,Фотоотчёт,construction.photo.report,Строительство / Фото-прогресс / Фотоотчёты,"form, kanban, list",mobile/photos; mobile/reports,MobilePhotosPage; MobileReportsPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Documents / Reports,progress_photo,Фото прогресса,construction.progress.photo,Строительство / Фото-прогресс / Фотографии,"form, kanban, list",mobile/photos; mobile/reports,MobilePhotosPage; MobileReportsPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Documents / Reports,report_config,Настройки отчетов,construction.report.config,Строительство / Настройки отчетов,"form, list",reports,ReportsPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Documents / Reports,reporting_deadline,Дедлайн отчётности,construction.reporting.deadline,Строительство / Отчётность / Календарь отчётности / Дедлайны отчётности,"form, list",regulatory/reporting-calendar,ReportingCalendarPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Documents / Reports,reporting_submission,Сдача отчётности,construction.reporting.submission,Строительство / Отчётность / Календарь отчётности / Календарь; Строительство / Отчётность / Календарь отчётности / Сдачи отчётности; Строительство / Отчётность / Календарь отчётности / Просроченные,"calendar, form, list",regulatory/reporting-calendar,ReportingCalendarPage,,"calendar, list",form,Missing form/detail view
PARTIAL,NICE,Documents / Reports,mobile_photo,Фото с мобильного устройства,construction.mobile.photo,Строительство / Фото-документация,"form, kanban, list",mobile/photos,MobilePhotosPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,Planning / Schedule,critical_path,Критический путь проекта,construction.critical.path,Строительство / Критический путь,"form, list",planning/gantt,GanttChartPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Planning / Schedule,gantt_dependency,Зависимость задач Gantt,construction.gantt.dependency,,"form, list",planning/gantt,GanttChartPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Planning / Schedule,resource_leveling,Выравнивание загрузки ресурсов,construction.resource.leveling,Строительство / Выравнивание ресурсов,"form, list",planning/resources,ResourceAllocationPage,,list,form,Missing form/detail view
PARTIAL,NICE,Planning / Schedule,monte_carlo,Вероятностный анализ сроков (Monte Carlo),construction.monte.carlo,Строительство / Monte Carlo симуляция,"form, list",planning/evm,EvmDashboardPage,,list,form,Missing form/detail view
PARTIAL,MUST,HR / Resources,brigade,Строительная бригада,construction.brigade,Строительство / Кадры строительства / Бригады,"form, list",crew,CrewPage,,list,form,Missing form/detail view
PARTIAL,MUST,HR / Resources,staffing_plan,Штатное расписание объекта,construction.staffing.plan,Строительство / Кадры строительства / Штатное расписание,"form, list",hr-russian/staffing,StaffingTablePage,,list,form,Missing form/detail view
PARTIAL,MUST,HR / Resources,time_entry,Табельная запись,construction.time.entry,Строительство / Табель бригад / Табельные записи,"calendar, form, list, pivot",timesheets,TimesheetListPage,,list,"calendar, form, pivot",Missing pivot table view; Missing calendar view; Missing form/detail view
PARTIAL,MUST,HR / Resources,time_sheet,Сводный табель,construction.time.sheet,Строительство / Табель бригад / Сводные табели; Строительство / Производство / Табели учёта,"form, kanban, list",timesheets,TimesheetListPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,HR / Resources,brigade_kpi,KPI бригад,construction.brigade.kpi,Строительство / Кадры (РФ) / KPI бригад,"form, list",kpi,KpiPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,HR / Resources,kpi,KPI для строительных объектов,construction.kpi,Строительство / KPI и аналитика / Справочник KPI,"form, kanban, list",kpi,KpiPage,,list,"form, kanban",Missing kanban/board view; Missing form/detail view
PARTIAL,SHOULD,HR / Resources,kpi_achievement,Достижение KPI,construction.kpi.achievement,Строительство / KPI и аналитика / Достижения KPI,"form, list",analytics/kpi-achievements,KpiAchievementsPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,HR / Resources,site_assignment,Назначение сотрудника на объект,construction.site.assignment,Строительство / Кадры строительства / Назначения на объекты,"form, list",employees,EmployeeListPage,,list,form,Missing form/detail view
PARTIAL,SHOULD,Communication / AI / Integration,portal_access,Доступ подрядчика к порталу,construction.portal.access,Строительство / Портал подрядчиков,"form, list",portal/admin,PortalAdminPage,,list,form,Missing form/detail view
MISSING,NICE,Communication / AI / Integration,advanced_analytics,Расширенная аналитика,construction.advanced.analytics,Строительство / Расширенная аналитика,form,analytics,AnalyticsDashboardPage,,,form,No view types covered. Odoo has: form
MISSING,NICE,Communication / AI / Integration,ai_assistant,AI ассистент,construction.ai.assistant,,form,ai-assistant,AiAssistantPage,,,form,No view types covered. Odoo has: form
PARTIAL,NICE,Communication / AI / Integration,iot_alert,IoT предупреждение,construction.iot.alert,Строительство / Интеграции / IoT и цифровой двойник / Предупреждения,"form, list",iot/alerts,AlertsPage,,list,form,Missing form/detail view
PARTIAL,NICE,Communication / AI / Integration,iot_device,IoT устройство,construction.iot.device,Строительство / Интеграции / IoT и цифровой двойник / Устройства,"form, kanban, list",iot/devices; iot/devices/:id,DevicesPage; DeviceDetailPage,,"form, list",kanban,Missing kanban/board view
PARTIAL,NICE,Communication / AI / Integration,iot_telemetry,IoT телеметрия,construction.iot.telemetry,Строительство / Интеграции / IoT и цифровой двойник / Телеметрия,"form, list",iot/sensors,SensorsPage,,list,form,Missing form/detail view
PARTIAL,NICE,Communication / AI / Integration,mfa_log,Журнал событий МФА,construction.mfa.log,Приложения / МФА Безопасность / Журнал МФА,"form, list",admin/users,UsersAdminPage,,list,form,Missing form/detail view
PARTIAL,NICE,Communication / AI / Integration,mobile_push_device,Устройство мобильного пуша,construction.mobile.push.device,Строительство / Интеграции / Мобильное приложение / Пуш-уведомления / Устройства,"form, list",notifications,NotificationsPage,,list,form,Missing form/detail view
PARTIAL,NICE,Communication / AI / Integration,mobile_push_notification,Пуш уведомление,construction.mobile.push.notification,Строительство / Интеграции / Мобильное приложение / Пуш-уведомления / Уведомления,"form, list",notifications,NotificationsPage,,list,form,Missing form/detail view
MISSING,NICE,Communication / AI / Integration,offline_sync_queue,Очередь синхронизации офлайн данных,construction.offline.sync.queue,Строительство / Интеграции / Мобильное приложение / Оффлайн очередь,"form, list",,,,,"form, list",construction.offline.sync.queue has no route in Next
PARTIAL,NICE,Communication / AI / Integration,sync_log,Журнал синхронизации PWA,construction.sync.log,Строительство / PWA и Синхронизация / Журнал синхронизации,"form, list",monitoring,MonitoringDashboardPage,,list,form,Missing form/detail view
